slug,occupation,isco,lse_2024_group_code,lse_2024_group_label,lse_2024_monthly_median,lse_2024_annual_benchmark,pay_previous,source_pay_previous,pay_dashboard,pay_refresh_method,pay_mapping_level,pay_mapping_confidence,jobs_2023_base,source_jobs_previous,jobs_dashboard_2024_calibrated,jobs_refresh_factor,jobs_refresh_method,source_pay,source_jobs
gymnasiallehrer-in,Gymnasiallehrer/-in,2330,23,23 Lehrkräfte,9697,126000,105000,Kantone (bes. ZH),105000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (Kantone (bes. ZH)); LSE 2024 CH-ISCO 23 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
hochschuldozent,Hochschuldozent/-in,2310,23,23 Lehrkräfte,9697,126000,128000,ETH/Uni Zürich Gehaltsbänder,128000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (ETH/Uni Zürich Gehaltsbänder); LSE 2024 CH-ISCO 23 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
kindergaertner-in,Kindergärtner/-in,2342,23,23 Lehrkräfte,9697,126000,72000,BFS LSE 2022,126000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 23,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
berufsschullehrer,Berufsschullehrer/-in,2320,23,23 Lehrkräfte,9697,126000,95000,BFS LSE 2022,126000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,15000,BFS SAKE 2023,15100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 23,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
elektriker-in,Elektriker/-in,7411,74,74 Elektriker und Elektroniker,6432,84000,72000,BFS LSE 2022,84000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,65000,BFS SAKE 2023,65400,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 74,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
sanitaer-installateur,Sanitärinstallateur/-in,7126,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,68000,BFS LSE 2022,80000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,35000,BFS SAKE 2023,35200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 71,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
maurer-in,Maurer/-in,7112,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,66000,BFS LSE 2022 / LMV Bau,66000,specialized_source_retained_lse_2024_benchmark_added,"CH-ISCO-19 Berufsgruppe, 2-Steller",benchmark,45000,BFS SAKE 2023,45300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,"Spezialquelle beibehalten (LMV Bau); LSE 2024 CH-ISCO 71 Benchmark",BFS SAKE 2024 total-skaliert (2023 Berufsmix)
schreiner-in,Schreiner/-in,7115,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,65000,BFS LSE 2022,80000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 71,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
maler-in,Maler/-in (Gebäude),7131,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,62000,BFS LSE 2022,80000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 71,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
zimmermann,Zimmermann/-frau,7115,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,68000,BFS LSE 2022,80000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 71,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
heizungsinstallateur,Heizungsinstallateur/-in,7127,71,"71 Bau- und Ausbaufachkräfte sowie verwandte Berufe, ausgenommen Elektriker",6172,80000,70000,BFS LSE 2022,80000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,20000,BFS SAKE 2023,20100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 71,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
